Description	
Elapsed Time	0:14:47
SUMMA Canister 1 ID	
SUMMA Canister 2 ID	
SUMMA Start	
SUMMA Stop	
Mast Heading	0.000000E+0
Distance to Source	50.000000E+0
Elevation Angle	0.000000E+0
Height at Elevation	0.000000E+0
Mast Height	0.000000E+0
FLIR File	
Photo File	
Delay Time	0.000
Source Height	0.000
Background CO2	0.000
Background H2S	0.000
Background C2H2	0.000
Background BEN	0.000
Background TOL	0.000
Background ETB	0.000
Background XYO	0.000
Background XYM	0.000
Background XYP	0.000
Background SO2	0.000
Background STY	0.000
Background FOR	0.000
Background NH3	0.000
Background NO	0.000
Background NO2	0.000
Background O3	0.000
Background VOC	500.000
<<<DATA>>>
Time	CO2	CH4	3DS U	3DS V	3DS W	3DS 2D Speed	3DS 3D Speed	3DS Azimuth	3DS Elevation	3DS SoS	3DS Sonic Temp	3DS Error Code	GPS Track	GPS Ground Speed	GPS Time	GPS Latitude	GPS Longitude	GPS DoP	WS Wind Speed 	WS Wind Direction	WS Temperature	WS Rel Humidity	WS Bar. Pressure	WS Compass Heading	BEN	TOL	ETB	XYO	XYM	XYP	SO2	STY	FOR	NH3	NO	NO2	O3	Cell Pressure	Cell Temperature	SUMMA Pressure	VOC	AirMar Wind Speed [m/s] 	AirMar Wind Direction [TRUE]	AirMar Air Temp [oC]	AirMar Rel Humidity [%]	AirMar Barometer [mBar]	AirMar Heading	AirMar Ground Speed [MPH]	AirMar Latitude	AirMar Longitude	Cerex-1-3 Butadiene	Cerex-Acetaldehyde	Cerex-Ammonia	Cerex-Benzene	Cerex-Carbon Disulfide	Cerex-Chlorine	Cerex-Chlorine Dioxide	Cerex-Ethylamine	Cerex-Ethylbenzene	Cerex-Formaldehyde	Cerex-Hydrogen Sulfide	Cerex-Isoprene	Cerex-Mercury	Cerex-Naphthalene	Cerex-Nitric Oxide	Cerex-Nitrogen Dioxide	Cerex-Oxygen	Cerex-Ozone	Cerex-Phenol	Cerex-Pyridine	Cerex-Styrene	Cerex-Sulfur Dioxide	Cerex-Toluene	Cerex-o-Xylene	Cerex-m-Xylene	Cerex-p-Xylene	Tiger-VOC	Cerex_MaxSigStrength	Cerex_FileNumber	Cerex-1-3 Butadiene_MDL(ppb)	Cerex-1-3 Butadiene_R2	Cerex-Acetaldehyde_MDL(ppb)	Cerex-Acetaldehyde_R2	Cerex-Ammonia_MDL(ppb)	Cerex-Ammonia_R2	Cerex-Benzene_MDL(ppb)	Cerex-Benzene_R2	Cerex-Carbon Disulfide_MDL(ppb)	Cerex-Carbon Disulfide_R2	Cerex-Chlorine_MDL(ppb)	Cerex-Chlorine_R2	Cerex-Chlorine Dioxide_MDL(ppb)	Cerex-Chlorine Dioxide_R2	Cerex-Ethylamine_MDL(ppb)	Cerex-Ethylamine_R2	Cerex-Ethylbenzene_MDL(ppb)	Cerex-Ethylbenzene_R2	Cerex-Formaldehyde_MDL(ppb)	Cerex-Formaldehyde_R2	Cerex-Hydrogen Sulfide_MDL(ppb)	Cerex-Hydrogen Sulfide_R2	Cerex-Isoprene_MDL(ppb)	Cerex-Isoprene_R2	Cerex-Mercury_MDL(ppb)	Cerex-Mercury_R2	Cerex-Naphthalene_MDL(ppb)	Cerex-Naphthalene_R2	Cerex-Nitric Oxide_MDL(ppb)	Cerex-Nitric Oxide_R2	Cerex-Nitrogen Dioxide_MDL(ppb)	Cerex-Nitrogen Dioxide_R2	Cerex-Oxygen_MDL(ppb)	Cerex-Oxygen_R2	Cerex-Ozone_MDL(ppb)	Cerex-Ozone_R2	Cerex-Phenol_MDL(ppb)	Cerex-Phenol_R2	Cerex-Pyridine_MDL(ppb)	Cerex-Pyridine_R2	Cerex-Styrene_MDL(ppb)	Cerex-Styrene_R2	Cerex-Sulfur Dioxide_MDL(ppb)	Cerex-Sulfur Dioxide_R2	Cerex-Toluene_MDL(ppb)	Cerex-Toluene_R2	Cerex-o-Xylene_MDL(ppb)	Cerex-o-Xylene_R2	Cerex-m-Xylene_MDL(ppb)	Cerex-m-Xylene_R2	Cerex-p-Xylene_MDL(ppb)	Cerex-p-Xylene_R2	MPOD-PID
06/15/18 11:10:59	3.969060E+2	3.379130E+0	3.650000E+0	-4.360000E+0	5.700000E-1	5.690000E+0	5.720000E+0	1.401000E+2	5.800000E+0	3.435400E+2	1.971000E+1	0.000000E+0	7.310000E+1	1.118468E-1	5.825700E+4	4.825305E+1	-1.024185E+2	1.300000E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.210990E+1	-1.628910E+1	-1.888920E+1	5.106220E+1	-4.953080E+1	1.811360E+1	3.574590E+1	NaN	2.108990E+2	5.300750E+2	2.797810E+0	-8.161570E+1	-1.549340E+1	-3.377100E+1	2.646408E+1	-1.305677E+0	6.283951E+2	8.300000E+0	2.745000E+2	1.820000E+1	NaN	1.008900E+3	2.847000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:00	3.962940E+2	3.718340E+0	3.540000E+0	-6.390000E+0	1.000000E-1	7.310000E+0	7.320000E+0	1.510000E+2	8.000000E-1	3.436200E+2	1.984000E+1	0.000000E+0	4.714000E+1	2.547622E-1	5.825800E+4	4.825305E+1	-1.024185E+2	1.300000E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.079280E+1	-1.768800E+1	-1.627510E+1	5.522910E+1	-5.581900E+1	1.876570E+1	4.309520E+1	NaN	2.416110E+2	5.738160E+2	1.627130E-1	-4.148960E+1	-1.131230E+1	-3.368892E+1	2.646408E+1	-1.440233E+0	6.037037E+2	7.400000E+0	2.741000E+2	1.820000E+1	NaN	1.008800E+3	2.951000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:01	3.962510E+2	2.909920E+0	2.950000E+0	-4.770000E+0	2.300000E-1	5.610000E+0	5.620000E+0	1.483000E+2	2.400000E+0	3.437200E+2	2.002000E+1	0.000000E+0	8.033000E+1	1.242742E-1	5.825900E+4	4.825305E+1	-1.024185E+2	1.300000E+0	NaN	NaN	NaN	NaN	NaN	NaN	8.013140E+0	-1.422670E+1	-1.413560E+1	5.906340E+1	-6.228370E+1	1.745960E+1	4.968110E+1	NaN	2.249950E+2	5.624550E+2	-4.785180E+1	-2.197000E+1	-8.965400E+0	-3.334765E+1	2.643669E+1	-1.318892E+0	5.901235E+2	7.700000E+0	2.826000E+2	1.820000E+1	NaN	1.008800E+3	2.965000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:02	3.958560E+2	3.035160E+0	4.460000E+0	-6.260000E+0	-9.000000E-2	7.690000E+0	7.700000E+0	1.445000E+2	-7.000000E-1	3.436000E+2	1.983000E+1	0.000000E+0	1.532900E+2	1.988388E-1	5.826000E+4	4.825305E+1	-1.024185E+2	1.300000E+0	NaN	NaN	NaN	NaN	NaN	NaN	6.837880E+0	-9.566370E+0	-1.579270E+1	6.535170E+1	-7.111510E+1	1.638720E+1	4.851980E+1	NaN	3.630750E+2	6.022230E+2	-8.517800E+1	-3.968100E+1	-4.727070E+0	-3.340813E+1	2.644217E+1	-1.230710E+0	5.802469E+2	8.500000E+0	2.714000E+2	1.820000E+1	NaN	1.008800E+3	3.362000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:03	3.959480E+2	2.479340E+0	2.430000E+0	-6.030000E+0	1.260000E+0	6.510000E+0	6.640000E+0	1.581000E+2	1.100000E+1	3.438400E+2	2.022000E+1	0.000000E+0	1.911000E+1	2.050525E-1	5.826150E+4	4.825305E+1	-1.024185E+2	1.200000E+0	NaN	NaN	NaN	NaN	NaN	NaN	7.538160E+0	-1.456230E+1	-8.027310E+0	7.822510E+1	-5.991230E+1	1.749490E+1	3.932170E+1	NaN	2.180970E+2	5.740070E+2	-5.904400E+1	-6.782240E+1	-7.516240E+0	-3.408635E+1	2.647778E+1	-1.314567E+0	5.555556E+2	7.500000E+0	2.875000E+2	1.820000E+1	NaN	1.008900E+3	2.992000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:04	3.958170E+2	2.943730E+0	2.920000E+0	-7.600000E+0	-9.800000E-1	8.150000E+0	8.210000E+0	1.590000E+2	-6.900000E+0	3.431400E+2	1.905000E+1	0.000000E+0	1.701300E+2	1.801976E-1	5.826250E+4	4.825305E+1	-1.024185E+2	1.200000E+0	NaN	NaN	NaN	NaN	NaN	NaN	1.167860E+1	-2.261740E+1	-9.532660E+0	8.298120E+1	-5.555490E+1	1.708980E+1	4.140290E+1	NaN	2.283710E+2	5.191650E+2	-4.650040E+1	-5.194770E+1	-8.517200E+0	-3.393947E+1	2.647778E+1	-1.328263E+0	5.641975E+2	7.900000E+0	2.829000E+2	1.820000E+1	NaN	1.008900E+3	2.993000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:06	3.954920E+2	3.204510E+0	1.810000E+0	-4.500000E+0	8.600000E-1	4.860000E+0	4.940000E+0	1.581000E+2	1.010000E+1	3.436000E+2	1.982000E+1	0.000000E+0	1.557900E+2	2.050525E-1	5.826350E+4	4.825305E+1	-1.024185E+2	1.200000E+0	NaN	NaN	NaN	NaN	NaN	NaN	8.837710E+0	-2.457340E+1	-1.291520E+1	7.490040E+1	-6.463910E+1	1.703000E+1	3.329420E+1	NaN	3.018690E+2	5.355230E+2	-4.900390E+1	-7.939380E+1	-1.124670E+1	-3.343837E+1	2.642299E+1	-1.351811E+0	5.370370E+2	6.900000E+0	2.907000E+2	1.810000E+1	NaN	1.008900E+3	3.152000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:07	3.959790E+2	3.044040E+0	1.440000E+0	-6.140000E+0	-2.900000E-1	6.310000E+0	6.320000E+0	1.667000E+2	-2.700000E+0	3.435200E+2	1.970000E+1	0.000000E+0	1.412200E+2	9.941939E-2	5.826450E+4	4.825305E+1	-1.024185E+2	1.200000E+0	NaN	NaN	NaN	NaN	NaN	NaN	8.790490E+0	-2.583490E+1	-1.430290E+1	7.057010E+1	-6.276120E+1	1.840570E+1	3.742610E+1	NaN	2.591990E+2	5.360470E+2	-2.598680E+1	-8.383280E+1	-1.455860E+1	-3.410794E+1	2.644217E+1	-1.328504E+0	5.308642E+2	7.700000E+0	2.889000E+2	1.820000E+1	NaN	1.009000E+3	2.994000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:08	3.954500E+2	2.924010E+0	4.470000E+0	-5.780000E+0	5.700000E-1	7.310000E+0	7.340000E+0	1.423000E+2	4.500000E+0	3.440200E+2	2.054000E+1	0.000000E+0	2.192900E+2	4.225324E-1	5.826550E+4	4.825305E+1	-1.024185E+2	1.200000E+0	NaN	NaN	NaN	NaN	NaN	NaN	9.038050E+0	-2.605610E+1	-1.520620E+1	7.263340E+1	-6.188000E+1	1.987700E+1	4.510210E+1	NaN	1.519870E+2	5.119950E+2	-2.997710E+1	-6.135860E+1	-1.301700E+1	-3.400859E+1	2.643943E+1	-1.475554E+0	5.308642E+2	7.200000E+0	2.790000E+2	1.820000E+1	NaN	1.008800E+3	3.016000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
06/15/18 11:11:09	3.954930E+2	3.221440E+0	3.680000E+0	-7.170000E+0	-1.340000E+0	8.070000E+0	8.190000E+0	1.528000E+2	-9.500000E+0	3.435200E+2	1.968000E+1	0.000000E+0	1.804800E+2	1.988388E-1	5.826650E+4	4.825305E+1	-1.024185E+2	1.200000E+0	NaN	NaN	NaN	NaN	NaN	NaN	7.713940E+0	-1.973510E+1	-1.793980E+1	8.004020E+1	-5.678290E+1	2.076340E+1	4.297120E+1	NaN	1.297640E+2	5.034470E+2	-2.938200E+1	-6.366260E+1	-1.040950E+1	-3.406907E+1	2.653806E+1	-1.349648E+0	5.222222E+2	8.200000E+0	2.778000E+2	1.820000E+1	NaN	1.008900E+3	2.965000E+2	0.000000E+0	4.825305E+1	-1.024185E+2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
