ID,lag,distance_m,sensor_height_m,source_height_m,release_rate_gpers
1051810_01,40,30.11,4,1.5,0.6
1051810_02,40,30.11,4,1.5,0.6
2052210_01,40,32.23,3.63,1.5,0.6
2052210_06,40,18.03,4.4,1.5,0.6
3111210_01,40,41.9,1.76,1.5,0.6
3111210_02,40,46.2,1.76,1.5,0.6
3111210_05,40,33,1.76,1.5,0.6
4042011_01,40,40.45,2.69,3.1,0.6
4042011_03,40,59.83,2.69,3.1,0.6
4042011_05,40,35.18,2.69,3.1,0.6
4042011_06,40,97.44,2.69,3.1,0.6
4042011_07,40,56.99,2.69,3.1,0.6
5050611_01,40,87.76,2.69,3.1,0.6
5050611_02,40,87.76,2.69,3.1,0.6
5050611_03,40,98.4,2.69,3.1,0.6
5050611_04,40,98.4,2.69,3.1,0.6
5050611_05,40,102.96,2.69,3.1,0.6
5050611_06,40,102.96,2.69,3.1,0.6
5050611_07,40,102.96,2.69,3.1,0.6
5050611_08,40,82,2.69,3.1,0.6
5050611_09,40,57,2.69,3.1,0.6
5050611_10,40,57,2.69,3.1,0.6
6061411_01,40,81,2.69,3.1,0.6
6061411_03,40,97.8,2.69,3.1,0.6
6061411_04,40,65.4,2.69,3.1,0.6
6061411_05,40,41,2.69,3.1,0.6
6061411_06,40,92.9,2.69,3.1,0.6
7042011_01,5,40.45,2.7,3.1,0.6
7042011_03,5,59.83,2.7,3.1,0.6
7042011_05,5,35.18,2.7,3.1,0.6
7042011_06,5,97.44,2.7,3.1,0.6
7042011_07,5,56.99,2.7,3.1,0.6
8050611_01,5,87.76,2.7,3.1,0.6
8050611_02,5,87.76,2.7,3.1,0.6
8050611_03,5,98.4,2.7,3.1,0.6
8050611_04,5,98.4,2.7,3.1,0.6
8050611_05,5,102.96,2.7,3.1,0.6
8050611_06,5,102.96,2.7,3.1,0.6
8050611_07,5,102.96,2.7,3.1,0.6
8050611_08,5,82,2.7,3.1,0.6
8050611_09,5,57,2.7,3.1,0.6
8050611_10,5,57,2.7,3.1,0.6
8050813_01,40,30,2.7,1.5,0.6
8050813_02,40,30,2.7,1.5,0.19
8050813_03,40,30,2.7,1.5,0.19
8050813_04,40,44,2.7,1.5,0.19
8050813_05,40,44,2.7,1.5,0.19
8050813_06,40,41,2.7,1.5,0.19
8050813_08,40,41,2.7,1.5,0.19
8050913_01,40,47,2.7,3.1,0.6
8050913_02,40,47,2.7,3.1,0.6
8050913_03,40,47,2.7,3.1,0.6
8050913_05,40,59,2.7,3.1,0.6
8050913_06,40,52,2.7,3.1,0.6
8050913_07,40,52,2.7,3.1,0.6
8050913_08,40,52,2.7,3.1,0.6
8050913_10,40,28,2.7,3.1,0.6
8051313_08,40,22,2.7,3.1,0.6
8051313_09,40,22,2.7,3.1,0.6
8051313_10,40,54,2.7,3.1,0.6
8051313_11,40,54,2.7,3.1,0.6
8051313_12,40,45,2.7,3.1,0.6
8051313_13,40,18,2.7,3.1,0.6
8051413_02,40,44,2.7,1.5,0.19
8051413_08,40,35,2.7,1.5,0.19
8051413_09,40,35,2.7,1.5,0.19
8051413_11,40,38,2.7,1.5,0.19
8051413_12,40,38,2.7,1.5,0.19
8051413_13,40,38,2.7,1.5,0.19
8051413_14,40,74,2.7,1.5,0.19
8051413_15,40,179,2.7,1.5,0.6
8051413_16,40,179,2.7,1.5,0.6
8051513_01,40,43.5,2.7,3.1,0.19
8051513_02,40,43,2.7,3.1,0.19
8051513_03,40,43,2.7,3.1,0.19
8051513_04,40,60,2.7,3.1,0.19
8051513_05,40,60,2.7,3.1,0.19
8051513_06,40,60,2.7,3.1,0.19
8051513_07,40,60,2.7,3.1,0.19
8051513_08,40,60,2.7,3.1,0.19
8051513_09,40,60,2.7,3.1,0.19
9060512_01,12,51,2.7,3.1,0.7
9060512_02,12,49,2.7,3.1,0.7
9060512_03,12,49,2.7,3.1,0.7
9060512_04,12,49,2.7,3.1,0.7
9060512_05,12,49,2.7,3.1,0.7
9060512_06,12,39,2.7,3.1,0.7
9060512_07,12,39,2.7,3.1,0.7
9060512_08,12,67,2.7,3.1,0.7
9060512_09,12,67,2.7,3.1,0.7
9060512_10,12,67,2.7,3.1,0.7
9060512_11,12,19,2.7,3.1,0.7
9060512_12,12,19,2.7,3.1,0.7
9060512_13,12,19,2.7,3,1.2
9060512_14,12,29,2.7,3,1.2
9060513_01,8,47.5,2.7,3.1,0.6
9060513_02,8,47.5,2.7,3.1,0.6
9060513_03,8,47.5,2.7,3.1,0.6
9060513_04,8,47.5,2.7,3.1,0.6
9060513_05,8,30,2.7,3.1,0.19
9071112_01,10,106,2.7,3.1,0.7
9071112_02,10,106,2.7,3.1,0.7
9071112_03,10,106,2.7,3.1,0.7
9071112_05,10,136,2.7,3.1,0.7
9071112_06,10,136,2.7,3.1,0.7
9071112_12,10,106,2.7,3.1,0.7
